0,0.623,1
0,0.6143,2
0,0.6659,3
0,0.5723,4
0,0.5,5
0,0.56,6
0,0.5862,7
0,0.5987,8
0,0.5813,9
0,0.5301,10
100,0.6559,1
100,0.6224,2
100,0.5861,3
100,0.5948,4
100,0.518,5
100,0.5323,6
100,0.533,7
100,0.5861,8
100,0.6515,9
100,0.5786,10
200,0.6457,1
200,0.7273,2
200,0.5859,3
200,0.5685,4
200,0.4893,5
200,0.4659,6
200,0.5144,7
200,0.584,8
200,0.6665,9
200,0.5032,10
300,0.5632,1
300,0.7133,2
300,0.4727,3
300,0.5828,4
300,0.4707,5
300,0.4406,6
300,0.5271,7
300,0.6294,8
300,0.6692,9
300,0.5427,10
400,0.4869,1
400,0.7342,2
400,0.4258,3
400,0.6087,4
400,0.5064,5
400,0.4465,6
400,0.5499,7
400,0.6693,8
400,0.6532,9
400,0.6596,10
500,0.4527,1
500,0.6398,2
500,0.4178,3
500,0.6246,4
500,0.539,5
500,0.3792,6
500,0.5023,7
500,0.6298,8
500,0.6141,9
500,0.6396,10
600,0.4979,1
600,0.6597,2
600,0.4041,3
600,0.6957,4
600,0.5035,5
600,0.3745,6
600,0.4997,7
600,0.6201,8
600,0.6904,9
600,0.7007,10
700,0.5803,1
700,0.7202,2
700,0.4001,3
700,0.6837,4
700,0.4276,5
700,0.4077,6
700,0.4784,7
700,0.63,8
700,0.6894,9
700,0.6962,10
800,0.5365,1
800,0.7671,2
800,0.3683,3
800,0.7495,4
800,0.4396,5
800,0.4017,6
800,0.3962,7
800,0.5996,8
800,0.7142,9
800,0.7992,10
900,0.5038,1
900,0.7747,2
900,0.3804,3
900,0.6786,4
900,0.476,5
900,0.3068,6
900,0.3725,7
900,0.643,8
900,0.6765,9
900,0.8021,10
1000,0.4132,1
1000,0.7834,2
1000,0.4,3
1000,0.7193,4
1000,0.4855,5
1000,0.3116,6
1000,0.4696,7
1000,0.6937,8
1000,0.6911,9
1000,0.8076,10
1100,0.4018,1
1100,0.7778,2
1100,0.4399,3
1100,0.7359,4
1100,0.481,5
1100,0.2651,6
1100,0.44,7
1100,0.7432,8
1100,0.7272,9
1100,0.8616,10
1200,0.3773,1
1200,0.8168,2
1200,0.4121,3
1200,0.6947,4
1200,0.5028,5
1200,0.2569,6
1200,0.4514,7
1200,0.6881,8
1200,0.7332,9
1200,0.8136,10
1300,0.3467,1
1300,0.7881,2
1300,0.4741,3
1300,0.6301,4
1300,0.4995,5
1300,0.2271,6
1300,0.435,7
1300,0.6606,8
1300,0.6914,9
1300,0.8466,10
1400,0.3176,1
1400,0.7878,2
1400,0.4452,3
1400,0.7724,4
1400,0.5862,5
1400,0.2516,6
1400,0.4374,7
1400,0.7574,8
1400,0.6815,9
1400,0.8799,10
1500,0.2487,1
1500,0.786,2
1500,0.4671,3
1500,0.8146,4
1500,0.603,5
1500,0.2845,6
1500,0.3659,7
1500,0.7678,8
1500,0.6932,9
1500,0.8822,10
1600,0.218,1
1600,0.7873,2
1600,0.4047,3
1600,0.8524,4
1600,0.6654,5
1600,0.3234,6
1600,0.3257,7
1600,0.7435,8
1600,0.6146,9
1600,0.9121,10
1700,0.2234,1
1700,0.834,2
1700,0.4562,3
1700,0.9137,4
1700,0.6797,5
1700,0.3261,6
1700,0.3219,7
1700,0.8069,8
1700,0.579,9
1700,0.9201,10
1800,0.1906,1
1800,0.8749,2
1800,0.4694,3
1800,0.9399,4
1800,0.6223,5
1800,0.352,6
1800,0.1985,7
1800,0.8394,8
1800,0.6346,9
1800,0.9766,10
1900,0.2593,1
1900,0.9104,2
1900,0.4559,3
1900,0.9065,4
1900,0.5773,5
1900,0.3194,6
1900,0.2279,7
1900,0.8422,8
1900,0.6118,9
1900,0.9784,10
2000,0.2335,1
2000,0.9261,2
2000,0.5198,3
2000,0.902,4
2000,0.5647,5
2000,0.2787,6
2000,0.2709,7
2000,0.8099,8
2000,0.5984,9
2000,0.9917,10
2100,0.1922,1
2100,0.9293,2
2100,0.5073,3
2100,0.8704,4
2100,0.605,5
2100,0.2898,6
2100,0.2236,7
2100,0.7523,8
2100,0.6842,9
2100,0.9922,10
2200,0.2601,1
2200,0.953,2
2200,0.463,3
2200,0.8251,4
2200,0.6144,5
2200,0.2007,6
2200,0.2226,7
2200,0.7047,8
2200,0.7269,9
2200,0.98,10
2300,0.2877,1
2300,0.9622,2
2300,0.4727,3
2300,0.88,4
2300,0.6559,5
2300,0.1013,6
2300,0.2768,7
2300,0.753,8
2300,0.6308,9
2300,0.9884,10
2400,0.2837,1
2400,0.9825,2
2400,0.5474,3
2400,0.8922,4
2400,0.6472,5
2400,0.0738,6
2400,0.248,7
2400,0.725,8
2400,0.6448,9
2400,0.9643,10
2500,0.3014,1
2500,0.9878,2
2500,0.5088,3
2500,0.8559,4
2500,0.6229,5
2500,0.06,6
2500,0.3078,7
2500,0.7509,8
2500,0.6277,9
2500,0.9708,10
2600,0.3795,1
2600,0.997,2
2600,0.5821,3
2600,0.8746,4
2600,0.7176,5
2600,0.0751,6
2600,0.2294,7
2600,0.8185,8
2600,0.6512,9
2600,0.9652,10
2700,0.3872,1
2700,0.9948,2
2700,0.6443,3
2700,0.8226,4
2700,0.7426,5
2700,0.0641,6
2700,0.3123,7
2700,0.7682,8
2700,0.6023,9
2700,0.9434,10
2800,0.3674,1
2800,0.9897,2
2800,0.6853,3
2800,0.794,4
2800,0.7276,5
2800,0.0247,6
2800,0.3706,7
2800,0.8203,8
2800,0.608,9
2800,0.9618,10
2900,0.4335,1
2900,0.997,2
2900,0.7089,3
2900,0.7777,4
2900,0.6694,5
2900,0.0,6
2900,0.3698,7
2900,0.8424,8
2900,0.6581,9
2900,0.9668,10
3000,0.4613,1
3000,1.0,2
3000,0.786,3
3000,0.8051,4
3000,0.6485,5
3000,0.0,6
3000,0.4142,7
3000,0.8517,8
3000,0.6834,9
3000,0.9934,10
3100,0.4363,1
3100,1.0,2
3100,0.7468,3
3100,0.7915,4
3100,0.6623,5
3100,0.0,6
3100,0.3695,7
3100,0.8305,8
3100,0.6895,9
3100,1.0,10
3200,0.3527,1
3200,1.0,2
3200,0.7221,3
3200,0.7291,4
3200,0.6493,5
3200,0.0,6
3200,0.4537,7
3200,0.8136,8
3200,0.7074,9
3200,1.0,10
3300,0.3226,1
3300,1.0,2
3300,0.7901,3
3300,0.7045,4
3300,0.6586,5
3300,0.0,6
3300,0.3813,7
3300,0.7689,8
3300,0.7321,9
3300,1.0,10
3400,0.3104,1
3400,1.0,2
3400,0.7702,3
3400,0.7187,4
3400,0.6294,5
3400,0.0,6
3400,0.3151,7
3400,0.7824,8
3400,0.7197,9
3400,1.0,10
3500,0.3409,1
3500,1.0,2
3500,0.765,3
3500,0.7021,4
3500,0.7057,5
3500,0.0,6
3500,0.2645,7
3500,0.7611,8
3500,0.7164,9
3500,1.0,10
3600,0.3199,1
3600,1.0,2
3600,0.7968,3
3600,0.7674,4
3600,0.6806,5
3600,0.0,6
3600,0.2994,7
3600,0.7808,8
3600,0.6622,9
3600,1.0,10
3700,0.3193,1
3700,1.0,2
3700,0.7538,3
3700,0.7687,4
3700,0.7035,5
3700,0.0,6
3700,0.246,7
3700,0.8156,8
3700,0.7484,9
3700,1.0,10
3800,0.3947,1
3800,1.0,2
3800,0.8039,3
3800,0.7792,4
3800,0.6946,5
3800,0.0,6
3800,0.2525,7
3800,0.8443,8
3800,0.7679,9
3800,1.0,10
3900,0.4112,1
3900,1.0,2
3900,0.8516,3
3900,0.8065,4
3900,0.7184,5
3900,0.0,6
3900,0.2076,7
3900,0.8776,8
3900,0.7548,9
3900,1.0,10
4000,0.3992,1
4000,1.0,2
