# dates,infections,hospitalizations,deaths,mean_r_t
2020-02-22,751.701339037594,nan,0.0,1.8569783847054118
2020-02-23,751.701339037594,nan,0.0,1.8568688325549876
2020-02-24,751.701339037594,nan,0.0,1.8568447381332875
2020-02-25,751.701339037594,nan,0.0,1.8568153455157024
2020-02-26,751.701339037594,nan,0.0,1.8567794901666836
2020-02-27,751.701339037594,nan,0.0,1.8567357518320255
2020-02-28,751.701339037594,nan,0.0,1.856682398505332
2020-02-29,751.701339037594,nan,0.0,1.856617318174588
2020-03-01,751.701339037594,nan,0.0,1.856537935712359
2020-03-02,2147.1510030086583,nan,0.0,1.8563884238355406
2020-03-03,2138.796830763102,nan,0.0,1.8562637493597203
2020-03-04,2259.918747917513,nan,0.0,1.8561009202699617
2020-03-05,2509.705816966355,nan,0.0,1.8559065545868916
2020-03-06,3028.808034670203,nan,0.0,1.8556725979860407
2020-03-07,3839.4713404196486,nan,0.0,1.8553894975267688
2020-03-08,4483.126184783001,nan,0.0,1.8550446397686555
2020-03-09,5061.20131609403,nan,0.004740321582135959,1.8546229979278117
2020-03-10,5765.877368058871,nan,0.013904943307598817,1.8541108696507091
2020-03-11,6632.218313991022,nan,0.02724104802534131,1.853490406126098
2020-03-12,7732.862468721449,nan,0.04454638201452566,1.8527381401040055
2020-03-13,8923.009989785107,nan,0.06565914229848162,1.8518255520220845
2020-03-14,10190.090061661602,nan,0.09361010088396361,1.8507177807958501
2020-03-15,11607.721337842055,nan,0.12797968242709365,1.8493743900862456
2020-03-16,13240.451852966133,nan,0.16843222665276933,1.84774688340815
2020-03-17,15135.499832876867,nan,0.21469920534090867,1.8457764151096063
2020-03-18,17276.06380477937,nan,0.28768550338025006,1.8433921170235728
2020-03-19,19658.50289607418,nan,0.3959586237181313,1.8405092847725717
2020-03-20,22325.356166509082,nan,0.5388091353005945,1.8370277844213765
2020-03-21,25331.4847903697,nan,0.7046596709144947,1.8328296641907338
2020-03-22,28727.57461374926,nan,0.883532811493811,1.8277764763525242
2020-03-23,32540.37547606565,nan,1.0619740157205904,1.8217070820379158
2020-03-24,36791.44018475341,nan,1.2773680763142272,1.8144360775160067
2020-03-25,41515.7656417884,nan,1.5423460021159174,1.8057532861648065
2020-03-26,46755.639480398284,nan,1.8689368901528032,1.7954245543967327
2020-03-27,52548.56068054568,nan,2.2668590068442427,1.78319459004916
2020-03-28,58915.392751033134,nan,2.736963063703528,1.7687929341545634
2020-03-29,65860.3868636845,nan,3.2968929572327568,1.7519440585618289
2020-03-30,73376.07704777866,nan,3.9666515669455342,1.7323824376910941
2020-03-31,81440.9133164318,nan,4.766747442664782,1.7098729963869732
2020-04-01,90012.25185644794,nan,5.716778322490052,1.6842366856119388
2020-04-02,99019.55666440651,nan,6.813354795920892,1.6553799056368392
2020-04-03,108363.40266607286,nan,8.087046213224237,1.6233249837801125
2020-04-04,117920.12744605614,nan,9.5719574366648,1.5882372946327648
2020-04-05,127548.09191791633,nan,11.30390682846344,1.5504433949393004
2020-04-06,137094.5851037817,nan,13.317739886956694,1.510434423148115
2020-04-07,146404.17414627798,nan,15.647338834005495,1.468850509629249
2020-04-08,155329.14228065356,nan,18.33793173417687,1.4264451116698018
2020-04-09,163740.5851616868,nan,21.44517148690173,1.3840324480885429
2020-04-10,171537.17340359735,nan,25.030509562750655,1.3424253252366853
2020-04-11,178649.6912763216,nan,29.16029137789792,1.3023731746259306
2020-04-12,185041.26990131478,nan,33.904075799956956,1.2645100817039188
2020-04-13,190704.4284053448,nan,39.33957667822711,1.229319976797191
2020-04-14,195656.21730356145,nan,45.553699623266155,1.197121985588962
2020-04-15,199932.3979537732,nan,52.640017356689285,1.1680746696077344
2020-04-16,203581.41707892087,nan,60.69595451913699,1.142194772727848
2020-04-17,206658.86488569205,nan,69.81909921782282,1.1193846969001644
2020-04-18,209222.9329908803,nan,80.10747623996852,1.0994631228541105
2020-04-19,211331.08467435057,nan,91.65730389653183,1.082194407722115
2020-04-20,213037.84016421778,nan,104.55869975749505,1.0673139889262766
2020-04-21,214393.43343985575,nan,118.88973441532298,1.0545485133916717
2020-04-22,215443.1065884007,nan,134.71108178507643,1.0436305360929576
2020-04-23,216226.8720224276,nan,152.05901229513753,1.034308332322815
2020-04-24,216779.6167520227,nan,170.94468662547263,1.0263517037074608
2020-04-25,217131.43303453026,nan,191.349870524183,1.0195547352744947
2020-04-26,217308.06876975542,nan,213.22464523789768,1.013736384914151
2020-04-27,217331.41757393323,nan,236.48703570340874,1.0087396390217749
2020-04-28,217220.00314929435,nan,261.02333311279483,1.0044298025511
2020-04-29,216989.43862261542,nan,286.69200522498977,1.0006923380433153
2020-04-30,216652.85199558613,nan,313.3284495169246,0.9974305397325958
2020-05-01,216221.2704915032,nan,340.75061684948423,0.994563228768363
2020-05-02,215703.95840099247,nan,368.76616920973123,0.9920225818129174
2020-05-03,215108.70762694304,nan,397.17657837317984,0.9897521533781463
2020-05-04,214442.08488850432,nan,425.78474396594737,0.9877051173788236
2020-05-05,213709.64153700523,nan,454.4010855178684,0.9858427310558124
2020-05-06,212916.09122622473,nan,482.84889013583546,0.9841330110092511
2020-05-07,212065.45930352324,nan,510.9685692834259,0.9825496037708862
2020-05-08,211161.20721235021,nan,538.6202935709473,0.9810708300645101
2020-05-09,210206.33537517575,nan,565.6860092586631,0.9796788811717149
2020-05-10,209203.46814306462,nan,592.0703831648366,0.9783591466073971
2020-05-11,208154.92400004005,nan,617.7004101869817,0.9770996539246964
2020-05-12,206893.16708019286,nan,642.5239779416639,0.9750906069842475
